"","Location","Sample","logMFI","Dilution","antigen","file_name","flagged_run","date_plate","min","max","lower_bound","upper_bound","Flag","Conc","trim_lo","trim_up"
"Rh220_1.18","18(1,B3)","NS1224",7.78364059622125,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.090501134185445,3.80666248977032,9.22413395452614
"Rh220_1.19","19(1,C3)","NS2264",5.99396142730657,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0298086163811757,3.80666248977032,9.22413395452614
"Rh220_1.20","20(1,D3)","NS1228",5.51745289646471,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0226517218019657,3.80666248977032,9.22413395452614
"Rh220_1.21","21(1,E3)","NS1293",4.49980967033027,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0123310650166842,3.80666248977032,9.22413395452614
"Rh220_1.22","22(1,F3)","NS2177",4.39444915467244,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0115396142505799,3.80666248977032,9.22413395452614
"Rh220_1.23","23(1,G3)","NS1043",5.0720439222249,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0174574047370127,3.80666248977032,9.22413395452614
"Rh220_1.24","24(1,H3)","NS1115",4.45434729625351,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0119843716949528,3.80666248977032,9.22413395452614
"Rh220_1.25","25(1,A4)","NS2075",7.17395831975679,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0601151246967871,3.80666248977032,9.22413395452614
"Rh220_1.26","26(1,B4)","NS2280",5.88610403145016,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0280149481551702,3.80666248977032,9.22413395452614
"Rh220_1.27","27(1,C4)","NS2012",7.21303165983487,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0616215031386928,3.80666248977032,9.22413395452614
"Rh220_1.28","28(1,D4)","NS1053",4.98360662170834,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0165633843983051,3.80666248977032,9.22413395452614
"Rh220_1.29","29(1,E4)","NS1192",9.7880767010248,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"above_upper_bound",0.42319975352719,3.80666248977032,9.22413395452614
"Rh220_1.30","30(1,F4)","NS1039",6.40357419793482,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0377798765027447,3.80666248977032,9.22413395452614
"Rh220_1.31","31(1,G4)","NS2027",5.68866883684615,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.025005526595882,3.80666248977032,9.22413395452614
"Rh220_1.32","32(1,H4)","NS1197",7.45414107814668,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0720670955348144,3.80666248977032,9.22413395452614
"Rh220_1.33","33(1,A5)","NS2118",4.59511985013459,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0130843648070385,3.80666248977032,9.22413395452614
"Rh220_1.34","34(1,B5)","NS1167",4.18205014264121,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0100669166578773,3.80666248977032,9.22413395452614
"Rh220_1.35","35(1,C5)","NS1185",7.43248380791712,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0710391690269682,3.80666248977032,9.22413395452614
"Rh220_1.36","36(1,D5)","NS2172",4.0342406381524,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.00913172962670369,3.80666248977032,9.22413395452614
"Rh220_1.37","37(1,E5)","NS1060",8.51559191004926,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.165919181598223,3.80666248977032,9.22413395452614
"Rh220_1.38","38(1,F5)","NS1058",9.3722891389622,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"above_upper_bound",0.42319975352719,3.80666248977032,9.22413395452614
"Rh220_1.39","39(1,G5)","NS1178",4.17438726989564,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0100166899454521,3.80666248977032,9.22413395452614
"Rh220_1.40","40(1,H5)","NS1080",7.99023818572036,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.105552837692055,3.80666248977032,9.22413395452614
"Rh220_1.41","41(1,A6)","NS1114",6.66185474054531,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0439765488948095,3.80666248977032,9.22413395452614
"Rh220_1.42","42(1,B6)","NS2173",5.85220247977447,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0274738811350078,3.80666248977032,9.22413395452614
